27.515513	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
16.116268	8.472275	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
11.273266	10.860693	2.593984	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
14.239258	16.064216	5.536678	0.539834	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
14.379581	18.722351	8.411456	1.517167	0.094773	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
11.288897	17.309741	10.003719	2.718686	0.349937	0.017212	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
7.470290	13.809987	10.231591	3.886376	0.798832	0.084405	0.003591	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
4.441634	10.061597	9.504457	4.845317	1.437702	0.248073	0.023044	0.000890	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2.359662	6.671299	8.053061	5.411522	2.210284	0.560994	0.086301	0.007352	0.000266	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1.366141	4.638368	6.856235	5.781294	3.059244	1.051645	0.234448	0.032637	0.002572	0.000087	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1.618885	5.813526	9.201079	8.441955	4.966854	1.956147	0.521871	0.093082	0.010621	0.000700	0.000020	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1.583321	6.005421	10.146681	10.073020	6.524391	2.893754	0.896598	0.194067	0.028764	0.002782	0.000158	0.000004	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.876813	3.716212	7.100268	8.080912	6.097580	3.211737	1.210259	0.328615	0.063795	0.008635	0.000774	0.000041	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000
0.596203	2.756516	5.801136	7.354151	6.262362	3.780696	1.664019	0.540388	0.129436	0.022578	0.002787	0.000231	0.000011	0.000000	0.000000	0.000000	0.000000	0.000000
0.426752	2.132004	4.887187	6.810444	6.442962	4.375578	2.198934	0.830395	0.236705	0.050666	0.008014	0.000908	0.000070	0.000003	0.000000	0.000000	0.000000	0.000000
0.307430	1.650827	4.094945	6.222540	6.475826	4.887515	2.762635	1.190481	0.394182	0.100255	0.019420	0.002813	0.000295	0.000021	0.000001	0.000000	0.000000	0.000000
0.174095	1.029553	2.827473	4.785228	5.584072	4.762651	3.070067	1.525196	0.589953	0.178202	0.041881	0.007575	0.001033	0.000103	0.000007	0.000000	0.000000	0.000000
0.099119	0.645200	1.958911	3.683211	4.801900	4.605123	3.362926	1.909415	0.853078	0.301511	0.084273	0.018515	0.003157	0.000409	0.000039	0.000003	0.000000	0.000000
0.070409	0.490720	1.602435	3.256764	4.615128	4.841067	3.894345	2.455750	1.230204	0.493064	0.158432	0.040702	0.008295	0.001323	0.000161	0.000015	0.000001	0.000000
0.256385	1.793065	5.878080	11.999567	17.090902	18.032715	14.605157	9.283703	4.694919	1.903278	0.620137	0.162101	0.033775	0.005543	0.000703	0.000067	0.000005	0.000000
0.000000	0.000000	0.223245	1.185134	2.881046	4.496862	5.020329	4.224796	2.760680	1.425488	0.587322	0.193856	0.051209	0.010763	0.001779	0.000227	0.000022	0.000000
0.000000	0.000000	0.167886	0.960403	2.533728	4.274189	5.168366	4.732254	3.384777	1.927153	0.883241	0.327714	0.098560	0.023957	0.004672	0.000722	0.000087	0.000000
0.000000	0.000000	0.339333	1.965210	5.258665	9.001689	11.058109	10.304607	7.518647	4.379623	2.061036	0.788790	0.246113	0.062527	0.012872	0.002128	0.000279	0.000000
0.000000	0.000000	0.200987	1.226532	3.476884	6.300838	8.208668	8.141351	6.352361	3.979684	2.027885	0.847034	0.291141	0.082392	0.019147	0.003633	0.000557	0.000000
0.000000	0.000000	0.093044	0.619306	1.923867	3.807827	5.414668	5.872390	5.026957	3.470133	1.958577	0.911770	0.351833	0.112747	0.029977	0.006588	0.001189	0.000000
0.000000	0.000000	0.047020	0.342100	1.166133	2.526650	3.928530	4.662935	4.379003	3.327556	2.076254	1.073986	0.463270	0.167134	0.050450	0.012715	0.002663	0.000000
0.000000	0.000000	0.036907	0.282202	1.014869	2.322556	3.818828	4.803225	4.794076	3.886153	2.598012	1.447184	0.676161	0.265999	0.088235	0.024661	0.005791	0.000000
0.000000	0.000000	0.022589	0.184316	0.709808	1.740361	3.066996	4.139591	4.443270	3.884706	2.811054	1.701987	0.868518	0.375240	0.137576	0.042816	0.011292	0.000000
0.000000	0.000000	0.016350	0.140305	0.570034	1.476385	2.751236	3.932603	4.479867	4.168287	3.220644	2.090112	1.148248	0.536756	0.214137	0.072991	0.021245	0.000000
0.000000	0.000000	0.012077	0.108465	0.462489	1.258862	2.468165	3.717225	4.470296	4.401738	3.609752	2.494858	1.465324	0.735530	0.316666	0.117145	0.037245	0.000000
0.000000	0.000000	0.008175	0.077063	0.345780	0.991653	2.050503	3.260857	4.147477	4.328294	3.771523	2.777901	1.744628	0.940000	0.436277	0.174841	0.060557	0.000000
