126	21.87
127	21.95
128	25.64
129	27.71
130	27.59
131	21.88
132	20.07
133	20.41
134	21.91
135	24.07
136	27.08
137	29.38
138	23.20
139	21.29
140	24.01
141	24.87
142	25.14
143	25.30
144	27.72
145	30.68
146	33.13
147	35.06
148	33.03
149	27.84
150	18.20
151	20.56
152	24.55
153	28.08
154	26.60
155	28.16
156	27.53
157	26.87
158	27.29
159	28.14
160	28.70
161	29.01
162	28.87
163	25.72
164	27.26
165	30.30
166	27.60
126	21.87
127	21.95
128	25.64
129	27.71
130	27.59
131	21.88
132	20.07
133	20.41
134	21.91
135	24.07
136	27.08
137	29.38
138	23.20
139	21.29
140	24.01
141	24.87
142	25.14
143	25.30
144	27.72
145	30.68
146	33.13
147	35.06
148	33.03
149	27.84
150	18.20
151	20.56
152	24.55
153	28.08
154	26.60
155	28.16
156	27.53
157	26.87
158	27.29
159	28.14
160	28.70
161	29.01
162	28.87
163	25.72
164	27.26
165	30.30
166	27.60
