100.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
100.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
92.138425	3.930788	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
79.979745	7.810777	0.172904	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
65.986797	14.123979	0.506977	0.007563	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
56.177866	17.207741	0.911810	0.022410	0.000225	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
47.724274	20.139834	1.729209	0.044716	0.000894	0.000006	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
39.057020	22.286822	2.684515	0.088419	0.002477	0.000029	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
29.743405	24.286349	3.853116	0.243187	0.006278	0.000102	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000
20.270167	25.058823	6.022436	0.498689	0.017801	0.000320	0.000005	0.000000	0.000000	0.000000	0.000000	0.000000
11.625414	24.037698	8.458009	0.969839	0.067719	0.001066	0.000018	0.000000	0.000000	0.000000	0.000000	0.000000
5.617792	21.122130	10.653752	1.673408	0.186339	0.004197	0.000067	0.000001	0.000000	0.000000	0.000000	0.000000
3.382897	18.038128	12.041944	2.566558	0.378107	0.016274	0.000204	0.000003	0.000000	0.000000	0.000000	0.000000
2.142572	15.558152	12.718398	3.368276	0.690605	0.036684	0.000657	0.000009	0.000000	0.000000	0.000000	0.000000
1.085647	12.249219	13.118639	4.356645	1.224605	0.082766	0.003196	0.000032	0.000000	0.000000	0.000000	0.000000
0.476417	9.325723	12.956009	5.340035	2.188428	0.168201	0.009150	0.000150	0.000002	0.000000	0.000000	0.000000
0.186124	6.629669	12.264751	6.500186	3.642708	0.322073	0.021264	0.000836	0.000007	0.000000	0.000000	0.000000
0.064376	4.646208	11.180626	7.387415	5.793910	0.577614	0.044413	0.002408	0.000039	0.000000	0.000000	0.000000
0.013382	2.831493	9.455246	8.055134	8.901244	1.266282	0.091343	0.006105	0.000248	0.000002	0.000000	0.000000
0.001065	1.602833	7.529999	8.326436	13.228901	2.375863	0.205178	0.014363	0.000815	0.000014	0.000000	0.000000
0.000070	0.854766	5.869116	8.140458	18.927521	3.896458	0.407931	0.032186	0.002081	0.000089	0.000001	0.000000
0.000052	0.747724	5.429517	7.998226	27.850891	4.461206	0.539002	0.041598	0.002835	0.000139	0.000002	0.000000
0.000000	0.361296	3.889678	7.394764	38.045177	7.758143	1.091864	0.088340	0.006477	0.000392	0.000015	0.000000
0.000000	0.185429	2.796724	6.619237	51.642458	11.778883	1.976843	0.177155	0.013722	0.000931	0.000048	0.000000
0.000000	0.139934	2.369605	6.150312	73.781552	15.039047	2.578073	0.287542	0.020405	0.001454	0.000084	0.000000
0.000000	0.095725	1.899992	5.553093	101.769519	21.225222	3.562272	0.468454	0.034471	0.002452	0.000156	0.000000
0.000000	0.050170	1.371596	4.750710	135.043112	33.019291	5.502056	0.808224	0.066245	0.004796	0.000324	0.000000
0.000000	0.020998	0.839655	3.843867	173.426183	51.272509	9.194415	1.438059	0.165807	0.010293	0.000724	0.000000
0.000000	0.008777	0.533358	2.969634	224.890097	71.585082	16.191457	2.405395	0.324476	0.023223	0.001520	0.000000
0.000000	0.003262	0.321455	2.204203	287.532889	99.108225	26.136380	4.261674	0.604670	0.050265	0.003468	0.000000
0.000000	0.001128	0.182679	1.629407	356.633856	140.197731	38.866676	7.123786	1.083156	0.122804	0.007550	0.000000
0.000000	0.000414	0.106097	1.202223	445.101395	185.846581	55.964177	11.140749	1.847579	0.244334	0.017273	0.000000
0.000000	0.000129	0.060543	0.824243	552.848978	241.721244	78.358007	18.869034	3.049299	0.451653	0.036848	0.000000
0.000000	0.000036	0.030741	0.550262	680.742264	311.482877	107.661692	29.540016	5.177577	0.801122	0.092653	0.000000
0.000000	0.000008	0.015246	0.359587	833.879478	396.186757	145.065091	43.876191	8.530656	1.403467	0.190162	0.000000
0.000000	0.000002	0.007468	0.231760	980.075981	497.737460	203.328755	62.657959	13.451044	2.395630	0.359064	0.000000
0.000000	0.000000	0.003331	0.138560	1153.437184	631.355272	271.293205	88.637118	22.538604	3.926920	0.641149	0.000000
0.000000	0.000000	0.001752	0.090484	1411.258118	755.092793	342.407825	117.497738	32.982516	6.132478	1.030526	0.000000
0.000000	0.000000	0.000847	0.056114	1691.736229	924.538680	431.216452	156.217745	47.532464	9.599309	1.689282	0.000000
0.000000	0.000000	0.000317	0.032179	1967.772642	1146.046355	549.911066	209.150070	68.452433	15.075399	2.831185	0.000000
0.000000	0.000000	0.000137	0.018236	2262.794975	1361.797997	680.344976	283.708295	93.080055	24.418480	4.438600	0.000000
0.000000	0.000000	0.000084	0.012860	2856.483152	1522.377625	781.554595	342.616901	115.729788	32.576591	6.219051	0.000000
0.000000	0.000000	0.000049	0.009038	3601.195318	1801.712866	914.509154	408.263221	142.875881	42.525523	8.584228	0.000000
0.000000	0.000000	0.000022	0.005505	4269.353126	2296.849690	1123.753711	507.760481	184.603131	58.303760	12.586708	0.000000
0.000000	0.000000	0.000008	0.002852	4901.663171	2904.201318	1433.359583	643.238967	241.462027	80.525884	20.630533	0.000000
0.000000	0.000000	0.000003	0.001484	5422.949732	3515.770693	1819.358770	816.034533	329.328705	108.682650	31.109592	0.000000
